Arrangement,DRRMH-H-07 1/7,Description,Serial Number,Inventory Item Number,PAR/ICS Number,UPM Property Number,DOST Property Number,DOST-UPM PTR Number,UPS-UPM PTR Number,Specific Location,Remarks
1,NICER Project: Simulation-based Learning Laboratory,"24"" Industrial Stand fan",,,NIH-IHPDS2019-02 83,2108 1/2,,,,Stock Room,
2,NICER Project: Simulation-based Learning Laboratory,"24"" Industrial Stand fan",,,NIH-IHPDS2019-02 83,2109    ,,,,Stock Room,
3,NICER Project: Simulation-based Learning Laboratory,Crown Pro 5008R Portable Sound System,,,2019-0188,1993,,,,Stock Room,
4,NICER Project: Simulation-based Learning Laboratory,Turbo Vaccum w/ 1 extra vaccum filter,,,NIH2021-224,NIHS-257,,,,Stock Room,
5,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Yellow),,,NIH2020-46,NIH-52 1/50,DOST GIA-23-2315-14,,,Stock Room,
6,NICER Project: Simulation-based Learning Laboratory,Hard Hat,,,NIH2020-46,NIH-52 1/50,,,,Stock Room,
7,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Yellow),,,NIH2020-46,NIH-52 2/50,DOST GIA-23-2315-20,,,Stock Room,
8,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Yellow),,,NIH2020-46,NIH-52 3/50,DOST GIA-23-2315-18,,,Stock Room,
9,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Yellow),,,NIH2020-46,NIH-52 4/50,DOST GIA-23-2315-6,,,Stock Room,
10,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Yellow),,,NIH2020-46,NIH-52 5/50,DOST GIA-23-2315-15,,,Stock Room,
11,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Yellow),,,NIH2020-46,NIH-52 6/50,DOST GIA-23-2315-17,,,Stock Room,
12,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Yellow),,,NIH2020-46,NIH-52 7/50,DOST GIA-23-2315-13,,,Stock Room,
13,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Yellow),,,NIH2020-46,NIH-52 8/50,DOST GIA-23-2315-16,,,Stock Room,
14,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Green),,,NIH2020-46,NIH-52 9/50,DOST GIA-23-2315-46,,,Stock Room,
